i,a,b,c,f(a),f(c),f(b),dis
1,0,100,50.0,-1.0,-1436001.0,-24497001.0,100
2,0,50.0,25.0,-1.0,-65657.25,-1436001.0,50.0
3,0,25.0,12.5,-1.0,2082.984,-65657.25,25.0
4,0,12.5,6.25,-1.0,1758.155,2082.984,12.5
5,6.25,12.5,9.375,1758.155,2743.591,2082.984,6.25
6,9.375,12.5,10.938,2743.591,2730.802,2082.984,3.125
7,9.375,10.938,10.156,2743.591,2801.208,2730.802,1.562
8,9.375,10.156,9.766,2743.591,2786.604,2801.208,0.781
9,9.766,10.156,9.961,2786.604,2797.676,2801.208,0.391
10,9.961,10.156,10.059,2797.676,2800.412,2801.208,0.195
11,10.059,10.156,10.107,2800.412,2801.056,2801.208,0.098
12,10.107,10.156,10.132,2801.056,2801.194,2801.208,0.049
